ID,Watch,Call (911) Problem,Type of Incident,Type  Location,Division,Council District,Date of Report,Date incident created,Person Involvement Type,Victim Type,Victim Race,Victim Ethnicity,Victim Gender,NIBRS Crime Category,NIBRS Group,Date of Incident,Call Duration (Minutes),Zone
1,1,40/01 - OTHER,INJURED PERSON - FIREARM INJURY (NO OFFENSE),Outdoor Area Public/Private,NORTHWEST,D2,2023-09-02 06:59:00.0000000,2023-09-02 02:07:03.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MISCELLANEOUS,C,2023-09-01 22:54:00,286.85,2
2,2,58 - ROUTINE INVESTIGATION,FOUND PROPERTY (NO OFFENSE),"Highway, Street, Alley ETC",NORTH CENTRAL,D12,2021-09-02 17:39:00.0000000,2021-09-02 16:32:31.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,MISCELLANEOUS,C,2021-09-02 15:00:00,137.88333333333333,0
3,2,40/01 - OTHER,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Parking (Business),NORTH CENTRAL,D12,2023-12-28 18:47:00.0000000,2023-12-28 19:15:14.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2023-12-28 08:45:00,191.7,0
4,1,20R - ROBBERY (REPORT)+1HR,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Parking (Business),SOUTHWEST,D3,2021-04-14 15:43:00.0000000,2021-04-14 16:14:22.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2021-04-14 00:00:00,102.85,3
5,3,19 - SHOOTING,ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),Single Family Residence - Occupied,SOUTHEAST,D8,2020-10-09 21:18:00.0000000,2020-10-09 21:30:29.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ASSAULT OFFENSES,A,2020-10-09 21:13:00,237.08333333333334,4
6,2,11B - BURG OF BUS,BURGLARY OF BUILDING - FORCED ENTRY,Restaurant/Food Service/TABC Location,CENTRAL,D7,2024-08-26 14:11:00.0000000,2024-08-27 08:14:55.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,BURGLARY/ BREAKING & ENTERING,A,2024-08-26 13:00:00,1096.6333333333334,2
7,2,07 - MINOR ACCIDENT,ACCIDENT INV DAMAGE TO VEHICLE <$200,"Highway, Street, Alley ETC",NORTH CENTRAL,D13,2022-03-21 10:22:00.0000000,2022-03-21 10:28:34.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MISCELLANEOUS,C,2022-03-20 12:00:00,64.35,0
8,1,16 - INJURED PERSON,ASSAULT -BODILY INJURY ONLY,"Highway, Street, Alley ETC",NORTH CENTRAL,D11,2024-02-25 09:15:00.0000000,2024-02-25 08:46:05.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,ASSAULT OFFENSES,A,2024-02-24 07:14:00,799.4833333333333,0
9,1,58 - ROUTINE INVESTIGATION,ROBBERY OF INDIVIDUAL (AGG),Parking (Business),CENTRAL,D2,2022-04-17 12:46:00.0000000,2022-04-17 13:32:35.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ROBBERY,A,2022-04-17 01:50:00,117.63333333333334,2
10,2,11V/01 - BURG MOTOR VEH,BMV,Gas or Service Station,NORTHWEST,D6,2021-07-29 10:03:00.0000000,2021-07-29 10:22:35.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,LARCENY/ THEFT OFFENSES,A,2021-07-29 09:30:00,83.55,1
